Dataset,Train_Size,Model,Accuracy,AUC_ROC
breast_cancer,20,Parampara Legacy,0.9122807017543859,0.97255291005291
breast_cancer,20,Parampara Pro,0.9210526315789473,0.47619047619047616
breast_cancer,20,Parampara Pro+,0.9210526315789473,0.47619047619047616
breast_cancer,20,Ananta Legacy,0.5877192982456141,0.6352513227513227
breast_cancer,20,Ananta Pro,0.9035087719298246,0.47619047619047616
breast_cancer,20,Samyoga Legacy,0.9210526315789473,0.9738756613756614
breast_cancer,20,Samyoga Shadow,0.9649122807017544,0.9884259259259259
breast_cancer,20,Samyoga Pro,0.8596491228070176,0.9553571428571428
breast_cancer,20,Samyoga Go,0.7105263157894737,0.8336640211640212
breast_cancer,50,Parampara Legacy,0.9473684210526315,0.9920634920634921
breast_cancer,50,Parampara Pro,0.9298245614035088,0.9854497354497355
breast_cancer,50,Parampara Pro+,0.9298245614035088,0.9854497354497355
breast_cancer,50,Ananta Legacy,0.5526315789473685,0.6130952380952381
breast_cancer,50,Ananta Pro,0.9298245614035088,0.9940476190476191
breast_cancer,50,Samyoga Legacy,0.9122807017543859,0.9699074074074074
breast_cancer,50,Samyoga Shadow,0.9649122807017544,0.9953703703703703
breast_cancer,50,Samyoga Pro,0.9298245614035088,0.9828042328042329
breast_cancer,50,Samyoga Go,0.868421052631579,0.9679232804232804
breast_cancer,100,Parampara Legacy,0.9473684210526315,0.9920634920634921
breast_cancer,100,Parampara Pro,0.956140350877193,0.9966931216931217
breast_cancer,100,Parampara Pro+,0.956140350877193,0.9966931216931217
breast_cancer,100,Ananta Legacy,0.5877192982456141,0.6273148148148148
breast_cancer,100,Ananta Pro,0.9649122807017544,0.9953703703703705
breast_cancer,100,Samyoga Legacy,0.9210526315789473,0.9546957671957672
breast_cancer,100,Samyoga Shadow,0.9473684210526315,0.9933862433862434
breast_cancer,100,Samyoga Pro,0.9385964912280702,0.9907407407407407
breast_cancer,100,Samyoga Go,0.9298245614035088,0.9887566137566138
breast_cancer,200,Parampara Legacy,0.9385964912280702,0.990079365079365
breast_cancer,200,Parampara Pro,0.9385964912280702,0.9950396825396826
breast_cancer,200,Parampara Pro+,0.9385964912280702,0.9950396825396826
breast_cancer,200,Ananta Legacy,0.7894736842105263,0.8773148148148148
breast_cancer,200,Ananta Pro,0.9298245614035088,0.9904100529100529
breast_cancer,200,Samyoga Legacy,0.8947368421052632,0.986111111111111
breast_cancer,200,Samyoga Shadow,0.9122807017543859,0.9874338624338624
breast_cancer,200,Samyoga Pro,0.9122807017543859,0.9847883597883598
breast_cancer,200,Samyoga Go,0.9298245614035088,0.9900793650793651
