Dataset,Model,Noise,Accuracy,AUC_ROC
moons,Parampara Legacy,0.0,0.95,1.0
moons,Parampara Pro,0.0,0.95,1.0
moons,Parampara Pro+,0.0,0.95,1.0
moons,Ananta Legacy,0.0,0.8,0.81
moons,Ananta Pro,0.0,0.95,1.0
moons,Samyoga Legacy,0.0,0.9,0.98
moons,Samyoga Shadow,0.0,0.95,1.0
moons,Samyoga Pro,0.0,0.95,1.0
moons,Samyoga Go,0.0,0.95,1.0
moons,Parampara Legacy,0.01,0.95,1.0
moons,Parampara Pro,0.01,0.95,1.0
moons,Parampara Pro+,0.01,0.95,1.0
moons,Ananta Legacy,0.01,0.8,0.81
moons,Ananta Pro,0.01,0.95,1.0
moons,Samyoga Legacy,0.01,0.9,0.97
moons,Samyoga Shadow,0.01,0.95,1.0
moons,Samyoga Pro,0.01,0.95,1.0
moons,Samyoga Go,0.01,0.95,1.0
moons,Parampara Legacy,0.05,0.95,1.0
moons,Parampara Pro,0.05,0.95,1.0
moons,Parampara Pro+,0.05,0.95,1.0
moons,Ananta Legacy,0.05,0.8,0.81
moons,Ananta Pro,0.05,0.95,1.0
moons,Samyoga Legacy,0.05,0.9,0.99
moons,Samyoga Shadow,0.05,0.95,1.0
moons,Samyoga Pro,0.05,0.95,1.0
moons,Samyoga Go,0.05,0.95,1.0
moons,Parampara Legacy,0.1,0.95,1.0
moons,Parampara Pro,0.1,0.95,1.0
moons,Parampara Pro+,0.1,0.95,1.0
moons,Ananta Legacy,0.1,0.8,0.81
moons,Ananta Pro,0.1,0.9,0.93
moons,Samyoga Legacy,0.1,0.9,0.97
moons,Samyoga Shadow,0.1,0.95,1.0
moons,Samyoga Pro,0.1,0.95,1.0
moons,Samyoga Go,0.1,0.95,1.0
moons,Parampara Legacy,0.2,0.95,1.0
moons,Parampara Pro,0.2,0.95,1.0
moons,Parampara Pro+,0.2,0.95,1.0
moons,Ananta Legacy,0.2,0.8,0.81
moons,Ananta Pro,0.2,0.9,0.0699999999999999
moons,Samyoga Legacy,0.2,0.9,0.97
moons,Samyoga Shadow,0.2,0.95,1.0
moons,Samyoga Pro,0.2,0.95,1.0
moons,Samyoga Go,0.2,0.95,1.0
iris,Parampara Legacy,0.0,0.9666666666666668,0.99
iris,Parampara Pro,0.0,0.9333333333333332,0.99
iris,Parampara Pro+,0.0,0.9333333333333332,0.99
iris,Ananta Legacy,0.0,0.7333333333333333,0.9166666666666666
iris,Ananta Pro,0.0,0.9,0.99
iris,Samyoga Legacy,0.0,0.9666666666666668,0.9966666666666668
iris,Samyoga Shadow,0.0,0.9333333333333332,0.99
iris,Samyoga Pro,0.0,0.9666666666666668,0.99
iris,Samyoga Go,0.0,0.9333333333333332,0.9833333333333334
iris,Parampara Legacy,0.01,0.9666666666666668,0.99
iris,Parampara Pro,0.01,0.9333333333333332,0.99
iris,Parampara Pro+,0.01,0.9333333333333332,0.99
iris,Ananta Legacy,0.01,0.7333333333333333,0.9166666666666666
iris,Ananta Pro,0.01,0.9,0.99
iris,Samyoga Legacy,0.01,0.9666666666666668,0.9966666666666668
iris,Samyoga Shadow,0.01,0.9333333333333332,0.99
iris,Samyoga Pro,0.01,0.9666666666666668,0.99
iris,Samyoga Go,0.01,0.9333333333333332,0.9833333333333334
iris,Parampara Legacy,0.05,0.9666666666666668,0.99
iris,Parampara Pro,0.05,0.9333333333333332,0.99
iris,Parampara Pro+,0.05,0.9333333333333332,0.99
iris,Ananta Legacy,0.05,0.7333333333333333,0.9166666666666666
iris,Ananta Pro,0.05,0.9,0.99
iris,Samyoga Legacy,0.05,0.9666666666666668,0.9933333333333332
iris,Samyoga Shadow,0.05,0.9333333333333332,0.99
iris,Samyoga Pro,0.05,0.9666666666666668,0.99
iris,Samyoga Go,0.05,0.9333333333333332,0.9833333333333334
iris,Parampara Legacy,0.1,0.9666666666666668,0.99
iris,Parampara Pro,0.1,0.9333333333333332,0.99
iris,Parampara Pro+,0.1,0.9333333333333332,0.99
iris,Ananta Legacy,0.1,0.7333333333333333,0.9166666666666666
iris,Ananta Pro,0.1,0.9,0.99
iris,Samyoga Legacy,0.1,0.9666666666666668,0.9983333333333334
iris,Samyoga Shadow,0.1,0.9333333333333332,0.99
iris,Samyoga Pro,0.1,0.9666666666666668,0.99
iris,Samyoga Go,0.1,0.9333333333333332,0.9833333333333334
iris,Parampara Legacy,0.2,0.9666666666666668,0.99
iris,Parampara Pro,0.2,0.9333333333333332,0.99
iris,Parampara Pro+,0.2,0.9333333333333332,0.99
iris,Ananta Legacy,0.2,0.7666666666666667,0.9166666666666666
iris,Ananta Pro,0.2,0.9,0.99
iris,Samyoga Legacy,0.2,0.9666666666666668,0.9983333333333334
iris,Samyoga Shadow,0.2,0.9333333333333332,0.99
iris,Samyoga Pro,0.2,0.9666666666666668,0.99
iris,Samyoga Go,0.2,0.9333333333333332,0.9833333333333334
