Noise_Prob,Model,Accuracy
0.0,Parampara Legacy,0.9666666666666667
0.0,Parampara Pro,0.9333333333333333
0.0,Parampara Pro+,0.9333333333333333
0.0,Ananta Legacy,0.8666666666666667
0.0,Ananta Pro,0.9
0.0,Samyoga Legacy,0.9666666666666667
0.0,Samyoga Shadow,0.9666666666666667
0.0,Samyoga Pro,0.9666666666666667
0.0,Samyoga Go,0.9333333333333333
0.05,Parampara Legacy,0.9666666666666667
0.05,Parampara Pro,0.9333333333333333
0.05,Parampara Pro+,0.9333333333333333
0.05,Ananta Legacy,0.8666666666666667
0.05,Ananta Pro,0.9
0.05,Samyoga Legacy,1.0
0.05,Samyoga Shadow,0.9666666666666667
0.05,Samyoga Pro,0.9666666666666667
0.05,Samyoga Go,0.9333333333333333
