Dataset,Model,Train_Size,Accuracy,AUC_ROC
moons,Parampara Legacy,10,0.85,0.8800000000000001
moons,Parampara Pro,10,0.8,0.5
moons,Parampara Pro+,10,0.8,0.5
moons,Ananta Legacy,10,0.7,0.6699999999999999
moons,Ananta Pro,10,0.85,0.4
moons,Samyoga Legacy,10,0.8,0.86
moons,Samyoga Shadow,10,0.85,0.91
moons,Samyoga Pro,10,0.7,0.81
moons,Samyoga Go,10,0.75,0.79
moons,Parampara Legacy,20,0.95,0.99
moons,Parampara Pro,20,0.8,0.91
moons,Parampara Pro+,20,0.8,0.91
moons,Ananta Legacy,20,0.7,0.7700000000000001
moons,Ananta Pro,20,0.8,0.5
moons,Samyoga Legacy,20,0.8,0.79
moons,Samyoga Shadow,20,0.8,0.94
moons,Samyoga Pro,20,0.8,0.9
moons,Samyoga Go,20,0.8,0.85
moons,Parampara Legacy,50,0.95,1.0
moons,Parampara Pro,50,0.9,0.8800000000000001
moons,Parampara Pro+,50,0.9,0.8800000000000001
moons,Ananta Legacy,50,0.75,0.7999999999999999
moons,Ananta Pro,50,0.95,0.5
moons,Samyoga Legacy,50,0.85,0.8900000000000001
moons,Samyoga Shadow,50,0.95,1.0
moons,Samyoga Pro,50,0.9,0.98
moons,Samyoga Go,50,0.95,1.0
wine,Parampara Legacy,10,0.8888888888888888,0.678176221926222
wine,Parampara Pro,10,0.8333333333333334,0.9800447237947236
wine,Parampara Pro+,10,0.8333333333333334,0.9800447237947236
wine,Ananta Legacy,10,0.2222222222222222,0.5566165316165316
wine,Ananta Pro,10,0.8888888888888888,0.9809271746771748
wine,Samyoga Legacy,10,0.7222222222222222,0.8943919506419507
wine,Samyoga Shadow,10,1.0,1.0
wine,Samyoga Pro,10,0.8888888888888888,0.957074407074407
wine,Samyoga Go,10,0.8888888888888888,0.9473817848817848
wine,Parampara Legacy,20,0.9444444444444444,0.997835497835498
wine,Parampara Pro,20,0.9722222222222222,0.9966029341029342
wine,Parampara Pro+,20,0.9722222222222222,0.9966029341029342
wine,Ananta Legacy,20,0.2222222222222222,0.4864371739371738
wine,Ananta Pro,20,0.9444444444444444,0.9899591149591148
wine,Samyoga Legacy,20,0.6944444444444444,0.9690957190957192
wine,Samyoga Shadow,20,1.0,1.0
wine,Samyoga Pro,20,0.8888888888888888,0.9844232156732158
wine,Samyoga Go,20,0.8888888888888888,0.9510043197543198
wine,Parampara Legacy,50,1.0,1.0
wine,Parampara Pro,50,0.9722222222222222,0.997835497835498
wine,Parampara Pro+,50,0.9722222222222222,0.997835497835498
wine,Ananta Legacy,50,0.5555555555555556,0.7082389832389833
wine,Ananta Pro,50,0.9444444444444444,0.9989177489177488
wine,Samyoga Legacy,50,0.9166666666666666,0.9820670070670072
wine,Samyoga Shadow,50,0.9722222222222222,0.9989177489177488
wine,Samyoga Pro,50,0.9444444444444444,0.9943889443889444
wine,Samyoga Go,50,0.8888888888888888,0.9878697691197692
wine,Parampara Legacy,100,0.9444444444444444,0.9976356976356976
wine,Parampara Pro,100,1.0,1.0
wine,Parampara Pro+,100,1.0,1.0
wine,Ananta Legacy,100,0.5277777777777778,0.7736670736670735
wine,Ananta Pro,100,1.0,1.0
wine,Samyoga Legacy,100,0.9722222222222222,0.9876780626780628
wine,Samyoga Shadow,100,0.9722222222222222,1.0
wine,Samyoga Pro,100,0.9722222222222222,0.997835497835498
wine,Samyoga Go,100,0.9722222222222222,0.997835497835498
iris,Parampara Legacy,10,0.7666666666666667,0.9816666666666666
iris,Parampara Pro,10,0.7666666666666667,0.95
iris,Parampara Pro+,10,0.7666666666666667,0.95
iris,Ananta Legacy,10,0.4,0.6633333333333334
iris,Ananta Pro,10,0.7666666666666667,0.9616666666666666
iris,Samyoga Legacy,10,0.8,0.94
iris,Samyoga Shadow,10,0.7666666666666667,0.9333333333333332
iris,Samyoga Pro,10,0.8333333333333334,0.9416666666666668
iris,Samyoga Go,10,0.7333333333333333,0.8450000000000001
iris,Parampara Legacy,20,0.9,0.99
iris,Parampara Pro,20,0.8666666666666667,0.99
iris,Parampara Pro+,20,0.8666666666666667,0.99
iris,Ananta Legacy,20,0.5333333333333333,0.7666666666666666
iris,Ananta Pro,20,0.8666666666666667,0.9883333333333332
iris,Samyoga Legacy,20,0.9333333333333332,0.98
iris,Samyoga Shadow,20,1.0,1.0
iris,Samyoga Pro,20,0.9666666666666668,0.985
iris,Samyoga Go,20,0.9333333333333332,0.9933333333333332
iris,Parampara Legacy,50,0.9666666666666668,0.9966666666666668
iris,Parampara Pro,50,0.9333333333333332,0.9933333333333332
iris,Parampara Pro+,50,0.9333333333333332,0.9933333333333332
iris,Ananta Legacy,50,0.7666666666666667,0.8833333333333334
iris,Ananta Pro,50,0.9333333333333332,0.9966666666666668
iris,Samyoga Legacy,50,0.9666666666666668,1.0
iris,Samyoga Shadow,50,0.9666666666666668,1.0
iris,Samyoga Pro,50,0.9333333333333332,0.9966666666666668
iris,Samyoga Go,50,0.9333333333333332,0.9866666666666668
iris,Parampara Legacy,100,0.9666666666666668,0.99
iris,Parampara Pro,100,0.9333333333333332,0.99
iris,Parampara Pro+,100,0.9333333333333332,0.99
iris,Ananta Legacy,100,0.7333333333333333,0.9166666666666666
iris,Ananta Pro,100,0.9,0.99
iris,Samyoga Legacy,100,0.9666666666666668,0.9966666666666668
iris,Samyoga Shadow,100,0.9333333333333332,0.99
iris,Samyoga Pro,100,0.9666666666666668,0.99
iris,Samyoga Go,100,0.9333333333333332,0.9833333333333334
